shared name	BHI_2011_EGDe[RNASeq]	BHI_2014_EGDe[RNASeq]	BHI_Long_2014_EGDe[RNASeq]	BHI_Medium_2014_EGDe[RNASeq]	BHI_Short_2014_EGDe[RNASeq]	High_10_Plantarum_Pediocin_2014[RNASeq]	High_180_Plantarum_Pediocin_2014[RNASeq]	High_60_Plantarum_Pediocin_2014[RNASeq]	High_60_Proteinase_Plantarum_Pediocin_2014[RNASeq]	LB_2014_EGDe[RNASeq]	LB_B12_2014_EGDe[RNASeq]	LB_B12_EA_2014_EGDe[RNASeq]	LB_EA_2014_EGDe[RNASeq]	Lmo0753_Rhamnose_2013_EGDe[RNASeq]	Macrophages_2011_EGDe[RNASeq]	Macrophages_2014_EGDe[RNASeq]	Macrophages_Long_2014_EGDe[RNASeq]	Macrophages_Medium_2014_EGDe[RNASeq]	Macrophages_Short_2014_EGDe[RNASeq]	Mid_180_Plantarum_Pediocin_2014[RNASeq]	Mid_60_Plantarum_Pediocin_2014[RNASeq]	WT_2012_EGDe[RNASeq]
lmo0676	0	-4.175652094	-3.692543257	-1.273643432	-0.799899501	-1.944906079	-1.437358305	-1.204463531	-1.524351513	1.150836431	1.654184963	0.548597557	0.816979501	0.692729871	3.673384508	-4.907631806	-3.209923069	2.983300351	3.205220079	-2.630670236	-1.069265502	-2.71655175
lmo0677	0	-4.268409235	-5.406756044	-1.150671881	-0.892656642	-1.662272212	-1.49516439	-0.718052178	-1.076598106	1.08206393	1.692473527	0.497017822	0.893048165	0.245887124	3.46515015	-5.585389611	-5.34038473	1.723712699	2.203514918	-1.869760063	-0.746228923	-2.111656068
lmo0678	0	-5.09903072	-5.406756044	-1.824207006	-1.151154267	-4.187398182	-2.772091792	-4.485525631	-4.888465577	-3.233508482	-3.610626295	-2.287771773	-3.442556334	-1.936890978	-4.240179951	-4.305977345	-1.613645255	-3.091078084	-2.001165334	-2.838510776	-3.789802444	-2.586081711
lmo0679	0	-4.885769726	-3.461554579	-1.002497626	-0.301430511	-4.365213838	-2.772091792	-4.485525631	-4.117414337	-3.233508482	-3.610626295	-2.287771773	-3.442556334	-0.44691098	-0.474138436	-4.907631806	-2.072043795	-2.379551622	-1.722598279	-2.838510776	-4.727719027	-2.586081711
lmo0680	0	-4.025317821	-3.989667961	-0.921000983	-0.704013012	-4.733774626	-2.772091792	-4.485525631	-4.858026509	-3.233508482	-3.610626295	-2.287771773	-3.442556334	-0.576030379	-1.461683438	-4.581995884	-2.644551297	-1.992701109	-1.596685231	-2.838510776	-3.789802444	-2.586081711
lmo0681	0	-3.732600218	-3.879541772	-1.06737507	-0.751478914	-4.343594831	-2.772091792	-5.152108775	-4.344437065	-4.136298755	-3.610626295	-2.287771773	-3.442556334	-0.342784716	-0.699480552	-5.601933532	-0.882348411	-1.429043903	-0.752020185	-2.838510776	-4.622931366	-2.586081711
lmo0682	0	-4.198019907	-3.71491107	-0.417317541	-1.992192315	-3.973696433	-2.772091792	-4.748660606	-3.808316117	-3.233508482	-4.254641546	-2.287771773	-3.442556334	-0.905687111	0.950576977	-5.339660471	-1.647328382	-2.065867522	-1.406817237	-2.838510776	-4.164143979	-2.586081711
lmo0683	0	-4.214571083	-6.053390342	-1.057305366	-1.384252627	-4.430701594	-2.772091792	-5.255568017	-5.18561874	-3.233508482	-4.570753004	-2.287771773	-3.442556334	-0.891817281	-4.240179951	-5.11651396	-2.248842059	-2.082418698	-1.636362137	-2.838510776	-3.789802444	-2.586081711
lmo0684	0	-5.567969516	-4.821826274	-1.713266569	-1.554787003	-4.344516915	-2.772091792	-4.257964245	-4.606098258	-4.078583258	-4.13273806	-2.287771773	-3.442556334	-1.090487204	1.165589868	-4.907631806	-5.34038473	-2.324785819	-1.616302175	-2.838510776	-3.789802444	-2.586081711
lmo0685	0	-3.910361714	-3.164218472	-1.733730672	-1.278269368	-4.687344746	-2.772091792	-5.084291791	-4.955853175	-3.961543836	-3.922589234	-2.287771773	-4.231987201	-0.622810394	-4.240179951	-3.882077277	-1.774707688	-1.055743304	-0.621659385	-2.838510776	-4.382595859	-2.586081711
